"timestamp [UTC]",message,type,innermostMessage
"24/09/2025, 08:09:17.697",,"System.InvalidOperationException","Binding parameters to complex objects (such as 'Object') uses Json.NET serialization. 
1. Bind the parameter type as 'string' instead of 'Object' to get the raw values and avoid JSON deserialization, or
2. Change the queue payload to be valid json. The JSON parser failed: Error parsing boolean value. Path '', line 1, position 1.
"
"24/09/2025, 08:09:17.696","Trigger Details: MessageIdArray: 113f35a4ae324d77b2e5b9b047b52fa3,e7195720c6b14a3b8a337986ece11d97, SequenceNumberArray: 12,16, DeliveryCountArray: 10,10, EnqueuedTimeUtcArray: 2025-09-24T08:09:08.5140000+00:00,2025-09-24T08:09:08.5140000+00:00, LockedUntilArray: 2025-09-24T08:10:17.6720000+00:00,2025-09-24T08:10:17.6720000+00:00, SessionId: (null)",,
"24/09/2025, 08:09:17.696","Executing 'Functions.serviceBusTrigger' (Reason='(null)', Id=3cf76db0-928c-414a-8b8c-08a5330f8d00)",,
"24/09/2025, 08:09:17.664",,"System.InvalidOperationException","Binding parameters to complex objects (such as 'Object') uses Json.NET serialization. 
1. Bind the parameter type as 'string' instead of 'Object' to get the raw values and avoid JSON deserialization, or
2. Change the queue payload to be valid json. The JSON parser failed: Error parsing boolean value. Path '', line 1, position 1.
"
"24/09/2025, 08:09:17.664","Trigger Details: MessageIdArray: 00d2ff8ae39b4f57886ee41b43b429fc, SequenceNumberArray: 13, DeliveryCountArray: 10, EnqueuedTimeUtcArray: 2025-09-24T08:09:08.5140000+00:00, LockedUntilArray: 2025-09-24T08:10:17.6250000+00:00, SessionId: (null)",,
"24/09/2025, 08:09:17.664","Executing 'Functions.serviceBusTrigger' (Reason='(null)', Id=e61dea75-7c8b-4c82-b524-20729ca37640)",,
"24/09/2025, 08:09:17.630",,"System.InvalidOperationException","Binding parameters to complex objects (such as 'Object') uses Json.NET serialization. 
1. Bind the parameter type as 'string' instead of 'Object' to get the raw values and avoid JSON deserialization, or
2. Change the queue payload to be valid json. The JSON parser failed: Error parsing boolean value. Path '', line 1, position 1.
"
"24/09/2025, 08:09:17.630","Trigger Details: MessageIdArray: 00d2ff8ae39b4f57886ee41b43b429fc, SequenceNumberArray: 13, DeliveryCountArray: 9, EnqueuedTimeUtcArray: 2025-09-24T08:09:08.5140000+00:00, LockedUntilArray: 2025-09-24T08:10:17.5940000+00:00, SessionId: (null)",,
"24/09/2025, 08:09:17.630","Executing 'Functions.serviceBusTrigger' (Reason='(null)', Id=bb211505-5537-4b2c-92f1-b7e8687f0471)",,
"24/09/2025, 08:09:17.589",,"System.InvalidOperationException","Binding parameters to complex objects (such as 'Object') uses Json.NET serialization. 
1. Bind the parameter type as 'string' instead of 'Object' to get the raw values and avoid JSON deserialization, or
2. Change the queue payload to be valid json. The JSON parser failed: Error parsing boolean value. Path '', line 1, position 1.
"
"24/09/2025, 08:09:17.589","Trigger Details: MessageIdArray: e7195720c6b14a3b8a337986ece11d97,113f35a4ae324d77b2e5b9b047b52fa3,00d2ff8ae39b4f57886ee41b43b429fc, SequenceNumberArray: 16,12,13, DeliveryCountArray: 9,9,8, EnqueuedTimeUtcArray: 2025-09-24T08:09:08.5140000+00:00,2025-09-24T08:09:08.5140000+00:00,2025-09-24T08:09:08.5140000+00:00, LockedUntilArray: 2025-09-24T08:10:17.5630000+00:00,2025-09-24T08:10:17.5630000+00:00,2025-09-24T08:10:17.5630000+00:00, SessionId: (null)",,
"24/09/2025, 08:09:17.589","Executing 'Functions.serviceBusTrigger' (Reason='(null)', Id=62e2004b-94fa-4c30-950f-97e7b85ae658)",,
"24/09/2025, 08:09:17.555",,"System.InvalidOperationException","Binding parameters to complex objects (such as 'Object') uses Json.NET serialization. 
1. Bind the parameter type as 'string' instead of 'Object' to get the raw values and avoid JSON deserialization, or
2. Change the queue payload to be valid json. The JSON parser failed: Error parsing boolean value. Path '', line 1, position 1.
"
"24/09/2025, 08:09:17.554","Trigger Details: MessageIdArray: e7195720c6b14a3b8a337986ece11d97, SequenceNumberArray: 16, DeliveryCountArray: 8, EnqueuedTimeUtcArray: 2025-09-24T08:09:08.5140000+00:00, LockedUntilArray: 2025-09-24T08:10:17.5160000+00:00, SessionId: (null)",,
"24/09/2025, 08:09:17.554","Executing 'Functions.serviceBusTrigger' (Reason='(null)', Id=674bb609-c41d-46cf-af88-da31e0c37640)",,
